text,label,clean_text
&#8220;@garytiffany_: Make the most of what you have.&#8221; Don't tell me what to do bitch,1,@user make the most of what you have. don't tell me what to do bitch
"934 8616
i got a missed call from yo bitch",1,934 8616 i got a missed call from yo bitch
I see u jigga!!!! Hillary $wankin,2,i see u jigga!!!! hillary $wankin
"RT @Rockprincess818: Go fight against the IDF if you progressive trash hate them so much, you don't have the guts to do it. 
#IStandWithIsr&#8230;",2,"rt @user go fight against the idf if you progressive trash hate them so much, you don't have the guts to do it. #istandwithisr"
"RT @SaveNoHoes: this nigga Kanye looking at his ice cream like ""hoe ass ice cream you aint as cold as Kanye"" http://t.co/Z3P8sXQtT3",1,"rt @user this nigga kanye looking at his ice cream like ""hoe ass ice cream you aint as cold as kanye"" [url]"
Come on nd get that chicken niggers love dat chicken from popeyes http://t.co/YjFh2HaVav,0,come on nd get that chicken niggers love dat chicken from popeyes [url]
#oomf can get it but I'm chilling till da bitch hit me up,1,#oomf can get it but i'm chilling till da bitch hit me up
"RT @Priceless_KP: It ain nun to cut dat bitch awf 

- Verizon",1,rt @user it ain nun to cut dat bitch awf - verizon
@CHILDISHCUDl @CheefPolo bitch mind your business,1,@user @user bitch mind your business
"@Liveitupjersey Breeding a Nation of Pussies, now how the hell is a Man, a Man...IF HE's A PUSSY!
I'm concerned, WE have pussies &amp; psycho's!",1,"@user breeding a nation of pussies, now how the hell is a man, a man...if he's a pussy! i'm concerned, we have pussies psycho's!"
This bitch love me long time i dont know why she wouldnt,1,this bitch love me long time i dont know why she wouldnt
RT @NoChillPaz: The only girls that care about being a guys WCW are hoes,1,rt @user the only girls that care about being a guys wcw are hoes
@felipefrost23 you can be whatever you want since you aren't a lying ass bitch ass childish ass mother fucker,1,@user you can be whatever you want since you aren't a lying ass bitch ass childish ass mother fucker
Just trynna have a bad bitch come thru &#128564;,1,just trynna have a bad bitch come thru
&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; http://t.co/zibllnm1ZS,2,@user grand opening ! @user top class oriental massage perfect ! [url]
If I can't make no money off of you then bitch I don't even want to you.,1,if i can't make no money off of you then bitch i don't even want to you.
RT @from_Hadria: When you listening to a bitch complaining about a nigga that ain&#8217;t even hers. http://t.co/Z09qLImXGE,1,rt @user when you listening to a bitch complaining about a nigga that aint even hers. [url]
RT @CauseWereGuys: If these 3 drop a song together bitches will never run out of quotes http://t.co/wITDIIgcye,1,rt @user if these 3 drop a song together bitches will never run out of quotes [url]
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1,""" got ya bitch tip toeing on my hardwood floors "" [url]"
Get this monkey off my back...,2,get this monkey off my back...
@ViVaLa_Ari smh what's wrong wit u ho,1,@user smh what's wrong wit u ho
#agreed &#58399;&#58399; RT @oliviaMrose: There are a few badd ones but idk..mixxed bitches is really where its at tho,1,#agreed rt @user there are a few badd ones but idk..mixxed bitches is really where its at tho
"I plan on eating this entire motherfucking pizza I just ordered like a mufucka, bitch.",1,"i plan on eating this entire motherfucking pizza i just ordered like a mufucka, bitch."
"@TheREALJB1RD @winchstrracin @wyatt11w Maybe he can call Hootie back up, he don't answer me anymore but still have crows.",2,"@user @user @user maybe he can call hootie back up, he don't answer me anymore but still have crows."
I hate bitches with bad eyebrows,1,i hate bitches with bad eyebrows
Rihanna's Favorite Thing About White House Visits: 'My President Being Black' http://t.co/86zVJUzJLr #Solidarity Poking whitey-not wise..,1,rihanna's favorite thing about white house visits: 'my president being black' [url] #solidarity poking whitey-not wise..
Austin is a funny niggah,1,austin is a funny niggah
@monkbent What's with that come-at-me-bro bird? Stressful.,2,@user what's with that come-at-me-bro bird? stressful.
RT @verkannt__: None of my bitches judge me they love me &#128524; don't think they would like me if i was any other way,1,rt @user none of my bitches judge me they love me don't think they would like me if i was any other way
RT @emmaleeenaa: I be catchin bitches while bitches be catchin feelings,1,rt @user i be catchin bitches while bitches be catchin feelings
"' Said I ain't Neva love no bitcccccch , but these bitches steady lovin on me on me , ayeeee . So what am I... http://t.co/NhB8omAqkm",1,"' said i ain't neva love no bitcccccch , but these bitches steady lovin on me on me , ayeeee . so what am i... [url]"
I have a feeling tonight will be trash.,2,i have a feeling tonight will be trash.
Let these hoes be hoes. Thats all we know,1,let these hoes be hoes. thats all we know
"Its like u want me to be the sideline hoe and dat shid ain't nvr finna happin while I'm well and living fuck dat I rather say fuck
It and u",1,its like u want me to be the sideline hoe and dat shid ain't nvr finna happin while i'm well and living fuck dat i rather say fuck it and u
@_ElenaRaquel_ its swag bitch aha,1,@user its swag bitch aha
RT @macktology101: Every girl goes thru her hoe phase her freshman year in college,1,rt @user every girl goes thru her hoe phase her freshman year in college
"Ya bitch aint bad nigga, u aint got no taste",1,"ya bitch aint bad nigga, u aint got no taste"
"Man if a bad washington heights chick on Dyckman likes me grabs her pussy and yells out ""what's good son"" I'm still fuckin",1,"man if a bad washington heights chick on dyckman likes me grabs her pussy and yells out ""what's good son"" i'm still fuckin"
@Prince_WilliamB @MixyArts This nothing to do with my shoes you ignorant twat.,1,@user @user this nothing to do with my shoes you ignorant twat.
What mad cunt created masturbating? That dude needs a high 5...,1,what mad cunt created masturbating? that dude needs a high 5...
im gonna hold this bitch to his word,1,im gonna hold this bitch to his word
@NaughtyBoyMusic bitch me too,1,@user bitch me too
&#8220;@FunnyPicsDepot: When the nigga with the aux cord playin some trash shit http://t.co/LMP5BeplVy&#8221; @JWilko7,1,@user when the nigga with the aux cord playin some trash shit [url]#8221; @user
"Watch ima hit that hoe later on this summer, finna be the best/most livestock party of 2014!!!",1,"watch ima hit that hoe later on this summer, finna be the best/most livestock party of 2014!!!"
Fuccn yo bitch and its wet like a pool&#128166;,1,fuccn yo bitch and its wet like a pool
some cunt go get me amber leaf and papers? cani be arsed walking to nisa #lazy,1,some cunt go get me amber leaf and papers? cani be arsed walking to nisa #lazy
2012-2013 seniors were chill as fuck. this years seniors are basic ass bitches,1,2012-2013 seniors were chill as fuck. this years seniors are basic ass bitches
I chase bread over hoes cause i never met a dollar i aint like #Facts,1,i chase bread over hoes cause i never met a dollar i aint like #facts
"I miss you being a wee cheeky cunt to me, sad times #missAbby",1,"i miss you being a wee cheeky cunt to me, sad times #missabby"
Bitches get on twitter an turn to saints like they not hoes that shit kill a nigga,1,bitches get on twitter an turn to saints like they not hoes that shit kill a nigga
Bullets stick to a nigguh damn liver,1,bullets stick to a nigguh damn liver
RT @OhLawdItsNiesha: That hoe ain't shit,1,rt @user that hoe ain't shit
"Some guy at orientation got asked what his top 3 favorite music artists are and the first thing this bitch said was ""Usher"".",1,"some guy at orientation got asked what his top 3 favorite music artists are and the first thing this bitch said was ""usher""."
RT @TwitchyTeam: 'Dying laughing': Russian wrestlers mock 'girly man' Obama's workout video http://t.co/LLDrxLZeUs,2,rt @user 'dying laughing': russian wrestlers mock 'girly man' obama's workout video [url]
"RT @ccobb1573: &#8220;@imFindDory: Can't spell slut without u, bitch.&#8221;",1,"rt @user @user can't spell slut without u, bitch."
I knows y'all white folk only be playin wit me. I colored and I knows my place,0,i knows y'all white folk only be playin wit me. i colored and i knows my place
@NyJusDntGAF to late niggers died first,1,@user to late niggers died first
Dumb ass bitch i swear,1,dumb ass bitch i swear
"#ReasonsWhyWeDontGetAlong You're a hoe. Stop focusing on sucking dick, focus on getting rich",1,"#reasonswhywedontgetalong you're a hoe. stop focusing on sucking dick, focus on getting rich"
@FukknTyler nigga I talk shit period this ain't nun new white bitch we go threw this every damn day &#128514;&#128514;,1,@user nigga i talk shit period this ain't nun new white bitch we go threw this every damn day
"I've never had a problem w| anybody here, I've been w| the company for a year, and then this snitch fucking bitch is trying to get me fired",1,"i've never had a problem w| anybody here, i've been w| the company for a year, and then this snitch fucking bitch is trying to get me fired"
happy birthday to the funniest bitch I know @RealerThanPlies &#128536;&#128536;&#128536;,1,happy birthday to the funniest bitch i know @user
My blue flag brite nd ya bitch blowing me like play bagpipes,1,my blue flag brite nd ya bitch blowing me like play bagpipes
"RT @tnicolle_rauzi: We always bitch about the opposite sex when we're equally just as scandalous. Not all, but a large sum. Hypocrisy at it&#8230;",1,"rt @user we always bitch about the opposite sex when we're equally just as scandalous. not all, but a large sum. hypocrisy at it"
@DevilElyie fag*,1,@user fag*
"Hey @RSherman_25 you're a nigger #racismisaliveandwellbro , learn from other blacks in the league on how to conduct yourself",0,"hey @user you're a nigger #racismisaliveandwellbro , learn from other blacks in the league on how to conduct yourself"
Never gas hoes but I do take they ass home,1,never gas hoes but i do take they ass home
RT @leek_porter21: &#8220;@_1MDot: I hate a always wanna smoke but aint got no money as nigga/bitch like bye falisha&#8221;&#128514;&#128514;&#128514;,1,rt @user @user i hate a always wanna smoke but aint got no money as nigga/bitch like bye falisha
"RT @MisterrRager: &#8220;@ViriDoesItt: I already know you trash if being tatted is on the list of things you want in a nigga..&#8221;

Off top.",1,rt @user @user i already know you trash if being tatted is on the list of things you want in a nigga.. off top.
@EakaErick I wouldn't share a wave with those trash cans,2,@user i wouldn't share a wave with those trash cans
"@NYRKelsMads 
You never survive in da colored hood",2,@user you never survive in da colored hood
@KenSuttling The spear chuckers are flooding into Upton Park.,2,@user the spear chuckers are flooding into upton park.
Only the strong survive and that nigga a pussy,1,only the strong survive and that nigga a pussy
Can't keep a shallow bitch if ya pockets ain't deep.,1,can't keep a shallow bitch if ya pockets ain't deep.
@GorgeousCamry_ @itsDeSha__ man get yo bitch ass out my mf mentions man with all tht bs u trippin,1,@user @user man get yo bitch ass out my mf mentions man with all tht bs u trippin
"RT @ChaldeanCutie: ""@Vivalaquintaa: Its a bunch of penis on my timeline literally"" - u want me 2 dm u my pussy lol",1,"rt @user ""@user its a bunch of penis on my timeline literally"" - u want me 2 dm u my pussy lol"
RT @TheCommonCock: Rt if you killed a bitch with your dick,1,rt @user rt if you killed a bitch with your dick
Music .....you make me sick bitch,1,music .....you make me sick bitch
RT @LuckyLanceJ: Life's a bitch. You've got to go out and kick ass. @DrMayaAngelou,1,rt @user life's a bitch. you've got to go out and kick ass. @user
&#8220;@NigggaPino: Splash onna bitch Wednesday tomorrow&#8221;,1,@user splash onna bitch wednesday tomorrow
"#NP ""Centuries"" ~FOB",2,"#np ""centuries"" ~fob"
My flow retarded &#128526;,2,my flow retarded
@JRise88 shut up you stupid bitch,0,@user shut up you stupid bitch
Of course my #faith for #baseball is off this year. BECAUSE OF #BARRYBONDS you goddamn retards!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #morons,0,of course my #faith for #baseball is off this year. because of #barrybonds you goddamn retards!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #morons
RT @Lyssaboo_23: You local ass bitch,1,rt @user you local ass bitch
@GossipCop Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!,0,@user julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!
@dablueprint fuck no she dont let nobody hit that pussy either I know it's firm,1,@user fuck no she dont let nobody hit that pussy either i know it's firm
@SonnieJohnson is 72% out of wedlock births a lie? latinos in 2nd place.# mostly driven up by illegal aliens w/ anchor babies,2,@user is 72% out of wedlock births a lie? latinos in 2nd place.# mostly driven up by illegal aliens w/ anchor babies
This headache is a bitch &#128543;&#128548;,1,this headache is a bitch
@MsKeeKee90s yh I did niggah yh that shyt dope trust me fam ..,1,@user yh i did niggah yh that shyt dope trust me fam ..
RT @JaclynDeeter: Well maybe you're a whore you stupid ugly homeless bitch,0,rt @user well maybe you're a whore you stupid ugly homeless bitch
""" Murda Gang bitch its Gang Land """,1,""" murda gang bitch its gang land """
@JennyMcCarthy don't let idiots that can't even spell retarded get you down.,1,@user don't let idiots that can't even spell retarded get you down.
Karma is a bitch... http://t.co/U8uK4v7nwN,1,karma is a bitch... [url]
"RT @TheCheapOne: What you see is what you get! I'm a guy with a love of adventure and a need for speed, Charlie Brown!",2,"rt @user what you see is what you get! i'm a guy with a love of adventure and a need for speed, charlie brown!"
RT @brendacoyt_3: @Tonymartinezz15 &#128530;&#9995; naw bruh member when you said that it was your snow -.- and your bitches &#128514;&#128514; that's my cake &#128079;,1,rt @user @user naw bruh member when you said that it was your snow -.- and your bitches that's my cake
This is a long yellow for a bunch of track sweeping. Not a ton have taken opportunities to pit. #IndyCar #GoProGrandPrix,2,this is a long yellow for a bunch of track sweeping. not a ton have taken opportunities to pit. #indycar #goprograndprix
I'm gonna go ape shit if there is an IF Uchida,1,i'm gonna go ape shit if there is an if uchida
tell me why nick cannon bout to invite wiz to wild'n out an hit him wit the i fucked your bitch diss haha,1,tell me why nick cannon bout to invite wiz to wild'n out an hit him wit the i fucked your bitch diss haha
RT @UrsTruly_Jessie: These bitches is actors out here,1,rt @user these bitches is actors out here
"RT @UmmmSassy: ""You're such a bitch"" http://t.co/3m1bRIlvfp",1,"rt @user ""you're such a bitch"" [url]"
"RT @metroadlib: don't ever be afraid to double bitch down.
ppl always expect you to be like, ""i'm sorry if i got loud."" or, ""i'm sorry to s&#8230;",1,"rt @user don't ever be afraid to double bitch down. ppl always expect you to be like, ""i'm sorry if i got loud."" or, ""i'm sorry to s"
"""@YoungRicooo: Happy birthday bitch nigga @WexicanAfro702"" Thanks pal",1,"""@user happy birthday bitch nigga @user thanks pal"
Because idk if your still tryna get with her again or not?... &#8212; bitch i might be http://t.co/FPJQpcH99K,1,because idk if your still tryna get with her again or not?... bitch i might be [url]
RT @RT_America: Russell Brand mocks Bill O'Reilly for proposing Berlin Wall against immigrants (VIDEO) http://t.co/WtzD2MIBf6 http://t.co/A&#8230;,2,rt @user russell brand mocks bill o'reilly for proposing berlin wall against immigrants (video) [url] [url]#8230;
Lightskins be like RT @TheOnlyCorae: Y'all got me fuck up I'm dicking down them young #PV18 bitches for there refund check I got to pay rent,1,lightskins be like rt @user y'all got me fuck up i'm dicking down them young #pv18 bitches for there refund check i got to pay rent
RT @FlexFoee: @1BookieG if he fuck yo bitch u should be happy like damn boosie fucked my bitch lmao,1,rt @user @user if he fuck yo bitch u should be happy like damn boosie fucked my bitch lmao
Ain't nobody up .. TL slick dead .. Other than the females bashing niccas early dis morning lol,1,ain't nobody up .. tl slick dead .. other than the females bashing niccas early dis morning lol
In-N-Out is like the sunshine and blue sky. The song of a bird. A smile at the front porch. The perfume of the ocean on wind-kissed cheeks.,2,in-n-out is like the sunshine and blue sky. the song of a bird. a smile at the front porch. the perfume of the ocean on wind-kissed cheeks.
RT @YrnReggie: How bitch how?&#128529;&#128514;&#128514; http://t.co/FCQfDKI4Zn,1,rt @user how bitch how? [url]
RT @KeyshBeChillin Have you bitches done your Kegals today?,1,rt @user have you bitches done your kegals today?
Yeah the NFL trash as fuck for this London shit,1,yeah the nfl trash as fuck for this london shit
Lmao.... These hoes!,1,lmao.... these hoes!
RT @Mymangot2JOBS_: WHO IS SHE? Ill fight her bestie RT @VeronicaGK: Then this bitch in my class wanna copy my homework off blackboard disc&#8230;,1,rt @user who is she? ill fight her bestie rt @user then this bitch in my class wanna copy my homework off blackboard disc
Now I'm gook boy shawty http://t.co/LAAaHsTYeB,2,now i'm gook boy shawty [url]
"Luda said that his bitch bad, well mine looks better in any weather lol",1,"luda said that his bitch bad, well mine looks better in any weather lol"
Rihanna just slaying any bitch &#128525;&#128525;,1,rihanna just slaying any bitch
RT @Persianboi10: #YesAllMen these hoes ain't loyal,1,rt @user #yesallmen these hoes ain't loyal
RT @LeNoirAuteur: bitch don't do this RT @AZEALIABANKS: &#128078;,1,rt @user bitch don't do this rt @user
Real niccas relate fuk niccas perpetrate,1,real niccas relate fuk niccas perpetrate
@bigksmoove them hoes look good,1,@user them hoes look good
@a_murda_ happy birthday bad bitch,1,@user happy birthday bad bitch
@AntiHeroKo bitch FOH,1,@user bitch foh
&#8220;@thomasemmanuelm: Colts nation...put yall money up&#8221;bitch chuassup we was just down 24,1,@user colts nation...put yall money upbitch chuassup we was just down 24
